Order ID	Order Date	Customer	Segment	Region	SKU	Product	Product Line	Category	Qty	Unit Price	Unit Cost	Total Revenue	Total Cost
100001	2024-01-06	Adventure Works Cycles	B2B	West	ZCS-JRS-CUS	Systems Custom Team Jersey	Systems	Team Uniforms	300	$314.10	$115.00	"$94,230.00"	"$34,500.00"
100002	2024-01-07	Relecloud	B2B	West	ZCR-FBR-FLD	ZavaCore Fiber — Field Grade	Supply	Raw Materials	20	$850.00	$310.00	"$17,000.00"	"$6,200.00"
100003	2024-01-14	Bellows College	B2B	East	ZCS-JRS-CUS	Systems Custom Team Jersey	Systems	Team Uniforms	100	$314.10	$115.00	"$31,410.00"	"$11,500.00"
100004	2024-01-21	Bellows College	B2B	East	ZCS-JRS-CUS	Systems Custom Team Jersey	Systems	Team Uniforms	100	$314.10	$115.00	"$31,410.00"	"$11,500.00"
100005	2024-01-21	"Fabrikam, Inc."	B2B	East	ZCR-FBR-FLD	ZavaCore Fiber — Field Grade	Supply	Raw Materials	30	$850.00	$310.00	"$25,500.00"	"$9,300.00"
100006	2024-01-22	Bellows College	B2B	East	ZCS-JRS-CUS	Systems Custom Team Jersey	Systems	Team Uniforms	50	$331.55	$115.00	"$16,577.50"	"$5,750.00"
100007	2024-01-25	Boulder Innovations	B2B	West	ZCR-FBR-SYS	ZavaCore Fiber — Systems Grade	Supply	Raw Materials	10	"$1,250.00"	$455.00	"$12,500.00"	"$4,550.00"
100008	2024-01-25	"VanArsdel, Ltd."	B2B	East	ZCS-JRS-CUS	Systems Custom Team Jersey	Systems	Team Uniforms	150	$314.10	$115.00	"$47,115.00"	"$17,250.00"
100009	2024-02-01	Relecloud	B2B	West	ZCR-FBR-SYS	ZavaCore Fiber — Systems Grade	Supply	Raw Materials	50	"$1,187.50"	$455.00	"$59,375.00"	"$22,750.00"
100010	2024-02-02	"VanArsdel, Ltd."	B2B	East	ZCS-JRS-CUS	Systems Custom Team Jersey	Systems	Team Uniforms	200	$314.10	$115.00	"$62,820.00"	"$23,000.00"
100011	2024-02-10	Bellows College	B2B	East	ZCS-JRS-CUS	Systems Custom Team Jersey	Systems	Team Uniforms	30	$349.00	$115.00	"$10,470.00"	"$3,450.00"
