Order ID,Order Date,Customer,Segment,Region,SKU,Product,Product Line,Category,Qty,Unit Price,Unit Cost,Total Revenue,Total Cost,Gross Profit,Margin %,Delivery Date,Status
100001,2024-01-06,Adventure Works Cycles,B2B,West,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,300,$314.10,$115.00,"$94,230.00","$34,500.00","$59,730.00",63.4%,2024-01-26,Delivered
100002,2024-01-07,Relecloud,B2B,West,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,20,$850.00,$310.00,"$17,000.00","$6,200.00","$10,800.00",63.5%,2024-01-27,Delivered
100003,2024-01-14,Bellows College,B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,100,$314.10,$115.00,"$31,410.00","$11,500.00","$19,910.00",63.4%,2024-01-27,Delivered
100004,2024-01-21,Bellows College,B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,100,$314.10,$115.00,"$31,410.00","$11,500.00","$19,910.00",63.4%,2024-02-17,Delivered
100005,2024-01-21,"Fabrikam, Inc.",B2B,East,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,30,$850.00,$310.00,"$25,500.00","$9,300.00","$16,200.00",63.5%,2024-02-11,Delivered
100006,2024-01-22,Bellows College,B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,50,$331.55,$115.00,"$16,577.50","$5,750.00","$10,827.50",65.3%,2024-01-30,Delivered
100007,2024-01-25,Boulder Innovations,B2B,West,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,10,"$1,250.00",$455.00,"$12,500.00","$4,550.00","$7,950.00",63.6%,2024-02-21,Delivered
100008,2024-01-25,"VanArsdel, Ltd.",B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,150,$314.10,$115.00,"$47,115.00","$17,250.00","$29,865.00",63.4%,2024-02-05,Delivered
100009,2024-02-01,Relecloud,B2B,West,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,50,"$1,187.50",$455.00,"$59,375.00","$22,750.00","$36,625.00",61.7%,2024-02-10,Delivered
100010,2024-02-02,"VanArsdel, Ltd.",B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,200,$314.10,$115.00,"$62,820.00","$23,000.00","$39,820.00",63.4%,2024-02-09,Delivered
100011,2024-02-10,Bellows College,B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,30,$349.00,$115.00,"$10,470.00","$3,450.00","$7,020.00",67.0%,2024-02-28,Delivered
100012,2024-02-22,Northwind Traders,B2B,Central,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,50,$807.50,$310.00,"$40,375.00","$15,500.00","$24,875.00",61.6%,2024-03-06,Delivered
100013,2024-02-22,Boulder Innovations,B2B,West,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,20,"$1,250.00",$455.00,"$25,000.00","$9,100.00","$15,900.00",63.6%,2024-03-21,Delivered
100014,2024-03-12,Northwind Traders,B2B,Central,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,30,$850.00,$310.00,"$25,500.00","$9,300.00","$16,200.00",63.5%,2024-04-02,Delivered
100015,2024-03-13,"VanArsdel, Ltd.",B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,50,$331.55,$115.00,"$16,577.50","$5,750.00","$10,827.50",65.3%,2024-04-09,Delivered
100016,2024-03-13,"Contoso, Ltd.",B2B,West,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,75,$331.55,$115.00,"$24,866.25","$8,625.00","$16,241.25",65.3%,2024-03-27,Delivered
100017,2024-03-14,Wide World Importers,B2B,Central,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,15,"$1,250.00",$455.00,"$18,750.00","$6,825.00","$11,925.00",63.6%,2024-03-26,Delivered
100018,2024-03-15,Trey Research,B2B,West,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,15,"$1,250.00",$455.00,"$18,750.00","$6,825.00","$11,925.00",63.6%,2024-04-04,Delivered
100019,2024-03-15,Boulder Innovations,B2B,West,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,10,"$1,250.00",$455.00,"$12,500.00","$4,550.00","$7,950.00",63.6%,2024-03-28,Delivered
100020,2024-03-16,Boulder Innovations,B2B,West,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,50,$807.50,$310.00,"$40,375.00","$15,500.00","$24,875.00",61.6%,2024-04-02,Delivered
100021,2024-03-19,"Fabrikam, Inc.",B2B,East,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,75,$807.50,$310.00,"$60,562.50","$23,250.00","$37,312.50",61.6%,2024-03-28,Delivered
100022,2024-03-21,Wide World Importers,B2B,Central,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,75,$807.50,$310.00,"$60,562.50","$23,250.00","$37,312.50",61.6%,2024-03-30,Delivered
100023,2024-03-22,"Contoso, Ltd.",B2B,West,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,150,$314.10,$115.00,"$47,115.00","$17,250.00","$29,865.00",63.4%,2024-04-04,Delivered
100024,2024-04-01,Boulder Innovations,B2B,West,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,25,"$1,250.00",$455.00,"$31,250.00","$11,375.00","$19,875.00",63.6%,2024-04-28,Delivered
100025,2024-04-04,Trey Research,B2B,West,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,5,$850.00,$310.00,"$4,250.00","$1,550.00","$2,700.00",63.5%,2024-04-28,Delivered
100026,2024-04-05,Wide World Importers,B2B,Central,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,30,"$1,250.00",$455.00,"$37,500.00","$13,650.00","$23,850.00",63.6%,2024-05-03,Delivered
100027,2024-04-14,"Fabrikam, Inc.",B2B,East,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,45,$850.00,$310.00,"$38,250.00","$13,950.00","$24,300.00",63.5%,2024-05-09,Delivered
100028,2024-04-20,Northwind Traders,B2B,Central,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,20,$850.00,$310.00,"$17,000.00","$6,200.00","$10,800.00",63.5%,2024-05-02,Delivered
100029,2024-05-01,Northwind Traders,B2B,Central,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,30,"$1,250.00",$455.00,"$37,500.00","$13,650.00","$23,850.00",63.6%,2024-05-10,Delivered
100030,2024-05-08,Boulder Innovations,B2B,West,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,20,"$1,250.00",$455.00,"$25,000.00","$9,100.00","$15,900.00",63.6%,2024-06-03,Delivered
100031,2024-05-17,"Contoso, Ltd.",B2B,West,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,225,$314.10,$115.00,"$70,672.50","$25,875.00","$44,797.50",63.4%,2024-06-03,Delivered
100032,2024-05-19,Northwind Traders,B2B,Central,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,50,$807.50,$310.00,"$40,375.00","$15,500.00","$24,875.00",61.6%,2024-06-13,Delivered
100033,2024-05-20,Adventure Works Cycles,B2B,West,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,150,$314.10,$115.00,"$47,115.00","$17,250.00","$29,865.00",63.4%,2024-06-02,Delivered
100034,2024-05-21,Bellows College,B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,75,$331.55,$115.00,"$24,866.25","$8,625.00","$16,241.25",65.3%,2024-06-11,Delivered
100035,2024-05-25,Bellows College,B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,25,$349.00,$115.00,"$8,725.00","$2,875.00","$5,850.00",67.0%,2024-06-08,Delivered
100036,2024-05-28,Relecloud,B2B,West,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,40,$850.00,$310.00,"$34,000.00","$12,400.00","$21,600.00",63.5%,2024-06-17,Delivered
100037,2024-06-01,Direct eCommerce,B2C,East,ZCF-EL-LST,Field Elite Long Sleeve Top,Field,Tops,3,$89.00,$28.00,$267.00,$84.00,$183.00,68.5%,2024-06-11,Delivered
100038,2024-06-02,"Contoso, Ltd.",B2C,Central,ZCF-EL-LST,Field Elite Long Sleeve Top,Field,Tops,1,$89.00,$28.00,$89.00,$28.00,$61.00,68.5%,2024-06-12,Delivered
100039,2024-06-02,"Contoso, Ltd.",B2C,International,ZCA-SC-PRO,Smart Cleats Pro,Accessories,Footwear,3,$249.00,$82.00,$747.00,$246.00,$501.00,67.1%,2024-06-12,Delivered
100040,2024-06-02,"Contoso, Ltd.",B2C,International,ZCF-PR-LST,Field Premium Long Sleeve Top,Field,Tops,2,$149.00,$45.00,$298.00,$90.00,$208.00,69.8%,2024-06-09,Delivered
100041,2024-06-02,Direct eCommerce,B2C,International,ZCF-PR-LST,Field Premium Long Sleeve Top,Field,Tops,3,$149.00,$45.00,$447.00,$135.00,$312.00,69.8%,2024-06-08,Delivered
100042,2024-06-03,Direct eCommerce,B2C,Central,ZCF-EL-SST,Field Elite Short Sleeve Top,Field,Tops,1,$79.00,$25.00,$79.00,$25.00,$54.00,68.4%,2024-06-07,Delivered
100043,2024-06-03,"Contoso, Ltd.",B2C,East,ZCF-PR-LST,Field Premium Long Sleeve Top,Field,Tops,1,$149.00,$45.00,$149.00,$45.00,$104.00,69.8%,2024-06-09,Delivered
100044,2024-06-04,Direct eCommerce,B2C,East,ZCA-SC-PRO,Smart Cleats Pro,Accessories,Footwear,1,$249.00,$82.00,$249.00,$82.00,$167.00,67.1%,2024-06-13,Delivered
100045,2024-06-04,"Contoso, Ltd.",B2C,West,ZCF-PR-SST,Field Premium Short Sleeve Top,Field,Tops,4,$129.00,$39.00,$516.00,$156.00,$360.00,69.8%,2024-06-13,Delivered
100046,2024-06-04,Direct eCommerce,B2C,Central,ZCF-PR-SST,Field Premium Short Sleeve Top,Field,Tops,1,$129.00,$39.00,$129.00,$39.00,$90.00,69.8%,2024-06-13,Delivered
100047,2024-06-04,Sporting Goods Retail,B2C,East,ZCF-PR-SST,Field Premium Short Sleeve Top,Field,Tops,2,$129.00,$39.00,$258.00,$78.00,$180.00,69.8%,2024-06-14,Delivered
100048,2024-06-05,Sporting Goods Retail,B2C,International,ZCF-EL-LST,Field Elite Long Sleeve Top,Field,Tops,1,$89.00,$28.00,$89.00,$28.00,$61.00,68.5%,2024-06-10,Delivered
100049,2024-06-05,"Contoso, Ltd.",B2C,West,ZCF-PR-SST,Field Premium Short Sleeve Top,Field,Tops,4,$129.00,$39.00,$516.00,$156.00,$360.00,69.8%,2024-06-14,Delivered
100050,2024-06-05,Direct eCommerce,B2C,West,ZCA-SC-PRO,Smart Cleats Pro,Accessories,Footwear,2,$249.00,$82.00,$498.00,$164.00,$334.00,67.1%,2024-06-14,Delivered
100051,2024-06-05,"Fabrikam, Inc.",B2B,East,ZCF-PR-SST,Field Premium Short Sleeve Top,Field,Tops,60,$122.55,$39.00,"$7,353.00","$2,340.00","$5,013.00",68.2%,2024-06-13,Delivered
100052,2024-06-06,"Contoso, Ltd.",B2C,Central,ZCF-PR-SST,Field Premium Short Sleeve Top,Field,Tops,1,$129.00,$39.00,$129.00,$39.00,$90.00,69.8%,2024-06-15,Delivered
100053,2024-06-06,"Contoso, Ltd.",B2C,West,ZCF-EL-SST,Field Elite Short Sleeve Top,Field,Tops,3,$79.00,$25.00,$237.00,$75.00,$162.00,68.4%,2024-06-09,Delivered
100054,2024-06-06,Adatum Corporation,B2B,East,ZCF-PR-SST,Field Premium Short Sleeve Top,Field,Tops,200,$116.10,$39.00,"$23,220.00","$7,800.00","$15,420.00",66.4%,2024-06-15,Delivered
100055,2024-06-07,Direct eCommerce,B2C,West,ZCF-EL-LST,Field Elite Long Sleeve Top,Field,Tops,4,$89.00,$28.00,$356.00,$112.00,$244.00,68.5%,2024-06-12,Delivered
100056,2024-06-07,Sporting Goods Retail,B2C,West,ZCF-PR-LST,Field Premium Long Sleeve Top,Field,Tops,1,$149.00,$45.00,$149.00,$45.00,$104.00,69.8%,2024-06-13,Delivered
100057,2024-06-07,Direct eCommerce,B2C,East,ZCF-PR-SST,Field Premium Short Sleeve Top,Field,Tops,2,$129.00,$39.00,$258.00,$78.00,$180.00,69.8%,2024-06-11,Delivered
100058,2024-06-08,Direct eCommerce,B2C,Central,ZCF-EL-SST,Field Elite Short Sleeve Top,Field,Tops,1,$79.00,$25.00,$79.00,$25.00,$54.00,68.4%,2024-06-17,Delivered
100059,2024-06-08,Direct eCommerce,B2C,West,ZCF-PR-SST,Field Premium Short Sleeve Top,Field,Tops,4,$129.00,$39.00,$516.00,$156.00,$360.00,69.8%,2024-06-14,Delivered
100060,2024-06-08,Direct eCommerce,B2C,West,ZCF-EL-LST,Field Elite Long Sleeve Top,Field,Tops,2,$89.00,$28.00,$178.00,$56.00,$122.00,68.5%,2024-06-11,Delivered
100061,2024-06-09,Sporting Goods Retail,B2C,Central,ZCF-EL-SST,Field Elite Short Sleeve Top,Field,Tops,1,$79.00,$25.00,$79.00,$25.00,$54.00,68.4%,2024-06-12,Delivered
100062,2024-06-09,Direct eCommerce,B2C,International,ZCF-PR-SST,Field Premium Short Sleeve Top,Field,Tops,3,$129.00,$39.00,$387.00,$117.00,$270.00,69.8%,2024-06-17,Delivered
100063,2024-06-09,Bellows College,B2B,East,ZCF-EL-SST,Field Elite Short Sleeve Top,Field,Tops,100,$71.10,$25.00,"$7,110.00","$2,500.00","$4,610.00",64.8%,2024-06-20,Delivered
