Order ID,Order Date,Customer,Segment,Region,SKU,Product,Product Line,Category,Qty,Unit Price,Unit Cost,Total Revenue,Total Cost,Gross Profit,Margin %,Delivery Date,Status
100001,2024-01-06,Adventure Works Cycles,B2B,West,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,300,$314.10,$115.00,"$94,230.00","$34,500.00","$59,730.00",63.4%,2024-01-26,Delivered
100002,2024-01-07,Relecloud,B2B,West,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,20,$850.00,$310.00,"$17,000.00","$6,200.00","$10,800.00",63.5%,2024-01-27,Delivered
100003,2024-01-14,Bellows College,B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,100,$314.10,$115.00,"$31,410.00","$11,500.00","$19,910.00",63.4%,2024-01-27,Delivered
100004,2024-01-21,Bellows College,B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,100,$314.10,$115.00,"$31,410.00","$11,500.00","$19,910.00",63.4%,2024-02-17,Delivered
100005,2024-01-21,"Fabrikam, Inc.",B2B,East,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,30,$850.00,$310.00,"$25,500.00","$9,300.00","$16,200.00",63.5%,2024-02-11,Delivered
100006,2024-01-22,Bellows College,B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,50,$331.55,$115.00,"$16,577.50","$5,750.00","$10,827.50",65.3%,2024-01-30,Delivered
100007,2024-01-25,Boulder Innovations,B2B,West,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,10,"$1,250.00",$455.00,"$12,500.00","$4,550.00","$7,950.00",63.6%,2024-02-21,Delivered
100008,2024-01-25,"VanArsdel, Ltd.",B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,150,$314.10,$115.00,"$47,115.00","$17,250.00","$29,865.00",63.4%,2024-02-05,Delivered
100009,2024-02-01,Relecloud,B2B,West,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,50,"$1,187.50",$455.00,"$59,375.00","$22,750.00","$36,625.00",61.7%,2024-02-10,Delivered
100010,2024-02-02,"VanArsdel, Ltd.",B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,200,$314.10,$115.00,"$62,820.00","$23,000.00","$39,820.00",63.4%,2024-02-09,Delivered
100011,2024-02-10,Bellows College,B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,30,$349.00,$115.00,"$10,470.00","$3,450.00","$7,020.00",67.0%,2024-02-28,Delivered
100012,2024-02-22,Northwind Traders,B2B,Central,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,50,$807.50,$310.00,"$40,375.00","$15,500.00","$24,875.00",61.6%,2024-03-06,Delivered
100013,2024-02-22,Boulder Innovations,B2B,West,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,20,"$1,250.00",$455.00,"$25,000.00","$9,100.00","$15,900.00",63.6%,2024-03-21,Delivered
100014,2024-03-12,Northwind Traders,B2B,Central,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,30,$850.00,$310.00,"$25,500.00","$9,300.00","$16,200.00",63.5%,2024-04-02,Delivered
100015,2024-03-13,"VanArsdel, Ltd.",B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,50,$331.55,$115.00,"$16,577.50","$5,750.00","$10,827.50",65.3%,2024-04-09,Delivered
100016,2024-03-13,"Contoso, Ltd.",B2B,West,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,75,$331.55,$115.00,"$24,866.25","$8,625.00","$16,241.25",65.3%,2024-03-27,Delivered
100017,2024-03-14,Wide World Importers,B2B,Central,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,15,"$1,250.00",$455.00,"$18,750.00","$6,825.00","$11,925.00",63.6%,2024-03-26,Delivered
100018,2024-03-15,Trey Research,B2B,West,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,15,"$1,250.00",$455.00,"$18,750.00","$6,825.00","$11,925.00",63.6%,2024-04-04,Delivered
100019,2024-03-15,Boulder Innovations,B2B,West,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,10,"$1,250.00",$455.00,"$12,500.00","$4,550.00","$7,950.00",63.6%,2024-03-28,Delivered
100020,2024-03-16,Boulder Innovations,B2B,West,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,50,$807.50,$310.00,"$40,375.00","$15,500.00","$24,875.00",61.6%,2024-04-02,Delivered
100021,2024-03-19,"Fabrikam, Inc.",B2B,East,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,75,$807.50,$310.00,"$60,562.50","$23,250.00","$37,312.50",61.6%,2024-03-28,Delivered
100022,2024-03-21,Wide World Importers,B2B,Central,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,75,$807.50,$310.00,"$60,562.50","$23,250.00","$37,312.50",61.6%,2024-03-30,Delivered
100023,2024-03-22,"Contoso, Ltd.",B2B,West,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,150,$314.10,$115.00,"$47,115.00","$17,250.00","$29,865.00",63.4%,2024-04-04,Delivered
100024,2024-04-01,Boulder Innovations,B2B,West,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,25,"$1,250.00",$455.00,"$31,250.00","$11,375.00","$19,875.00",63.6%,2024-04-28,Delivered
100025,2024-04-04,Trey Research,B2B,West,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,5,$850.00,$310.00,"$4,250.00","$1,550.00","$2,700.00",63.5%,2024-04-28,Delivered
100026,2024-04-05,Wide World Importers,B2B,Central,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,30,"$1,250.00",$455.00,"$37,500.00","$13,650.00","$23,850.00",63.6%,2024-05-03,Delivered
100027,2024-04-14,"Fabrikam, Inc.",B2B,East,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,45,$850.00,$310.00,"$38,250.00","$13,950.00","$24,300.00",63.5%,2024-05-09,Delivered
100028,2024-04-20,Northwind Traders,B2B,Central,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,20,$850.00,$310.00,"$17,000.00","$6,200.00","$10,800.00",63.5%,2024-05-02,Delivered
100029,2024-05-01,Northwind Traders,B2B,Central,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,30,"$1,250.00",$455.00,"$37,500.00","$13,650.00","$23,850.00",63.6%,2024-05-10,Delivered
100030,2024-05-08,Boulder Innovations,B2B,West,ZCR-FBR-SYS,ZavaCore Fiber — Systems Grade,Supply,Raw Materials,20,"$1,250.00",$455.00,"$25,000.00","$9,100.00","$15,900.00",63.6%,2024-06-03,Delivered
100031,2024-05-17,"Contoso, Ltd.",B2B,West,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,225,$314.10,$115.00,"$70,672.50","$25,875.00","$44,797.50",63.4%,2024-06-03,Delivered
100032,2024-05-19,Northwind Traders,B2B,Central,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,50,$807.50,$310.00,"$40,375.00","$15,500.00","$24,875.00",61.6%,2024-06-13,Delivered
100033,2024-05-20,Adventure Works Cycles,B2B,West,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,150,$314.10,$115.00,"$47,115.00","$17,250.00","$29,865.00",63.4%,2024-06-02,Delivered
100034,2024-05-21,Bellows College,B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,75,$331.55,$115.00,"$24,866.25","$8,625.00","$16,241.25",65.3%,2024-06-11,Delivered
100035,2024-05-25,Bellows College,B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,25,$349.00,$115.00,"$8,725.00","$2,875.00","$5,850.00",67.0%,2024-06-08,Delivered
100036,2024-05-28,Relecloud,B2B,West,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,40,$850.00,$310.00,"$34,000.00","$12,400.00","$21,600.00",63.5%,2024-06-17,Delivered
100051,2024-06-05,"Fabrikam, Inc.",B2B,East,ZCF-PR-SST,Field Premium Short Sleeve Top,Field,Tops,60,$122.55,$39.00,"$7,353.00","$2,340.00","$5,013.00",68.2%,2024-06-13,Delivered
100054,2024-06-06,Adatum Corporation,B2B,East,ZCF-PR-SST,Field Premium Short Sleeve Top,Field,Tops,200,$116.10,$39.00,"$23,220.00","$7,800.00","$15,420.00",66.4%,2024-06-15,Delivered
100063,2024-06-09,Bellows College,B2B,East,ZCF-EL-SST,Field Elite Short Sleeve Top,Field,Tops,100,$71.10,$25.00,"$7,110.00","$2,500.00","$4,610.00",64.8%,2024-06-20,Delivered
100064,2024-06-10,Bellows College,B2B,East,ZCS-JRS-CUS,Systems Custom Team Jersey,Systems,Team Uniforms,100,$314.10,$115.00,"$31,410.00","$11,500.00","$19,910.00",63.4%,2024-07-04,Delivered
100071,2024-06-12,"VanArsdel, Ltd.",B2B,East,ZCF-EL-LST,Field Elite Long Sleeve Top,Field,Tops,20,$89.00,$28.00,"$1,780.00",$560.00,"$1,220.00",68.5%,2024-06-28,Delivered
100072,2024-06-12,Wide World Importers,B2B,Central,ZCR-FBR-NAN,ZavaCore Fiber — Nano Grade,Supply,Raw Materials,150,"$2,160.00",$880.00,"$324,000.00","$132,000.00","$192,000.00",59.3%,2024-06-26,Delivered
100075,2024-06-13,Wide World Importers,B2B,Central,ZCF-PR-LST,Field Premium Long Sleeve Top,Field,Tops,300,$134.10,$45.00,"$40,230.00","$13,500.00","$26,730.00",66.4%,2024-06-26,Delivered
100077,2024-06-14,Boulder Innovations,B2B,West,ZCA-SC-PRO,Smart Cleats Pro,Accessories,Footwear,75,$236.55,$82.00,"$17,741.25","$6,150.00","$11,591.25",65.3%,2024-06-30,Delivered
100093,2024-06-19,"VanArsdel, Ltd.",B2B,East,ZCF-PR-LST,Field Premium Long Sleeve Top,Field,Tops,100,$134.10,$45.00,"$13,410.00","$4,500.00","$8,910.00",66.4%,2024-07-05,Delivered
100109,2024-06-25,Wide World Importers,B2B,Central,ZCF-PR-LST,Field Premium Long Sleeve Top,Field,Tops,225,$134.10,$45.00,"$30,172.50","$10,125.00","$20,047.50",66.4%,2024-07-06,Delivered
100110,2024-06-25,Alpine Ski House,B2B,West,ZCA-SC-PRO,Smart Cleats Pro,Accessories,Footwear,100,$224.10,$82.00,"$22,410.00","$8,200.00","$14,210.00",63.4%,2024-07-12,Delivered
100132,2024-07-03,Trey Research,B2B,West,ZCR-DEV-01,ZavaCore Developer Kit,Supply,Dev Tools,25,$499.00,$165.00,"$12,475.00","$4,125.00","$8,350.00",66.9%,2024-07-21,Delivered
100135,2024-07-04,Boulder Innovations,B2B,West,ZCR-FBR-NAN,ZavaCore Fiber — Nano Grade,Supply,Raw Materials,5,"$2,400.00",$880.00,"$12,000.00","$4,400.00","$7,600.00",63.3%,2024-07-20,Delivered
100137,2024-07-05,"Fabrikam, Inc.",B2B,East,ZCF-EL-LST,Field Elite Long Sleeve Top,Field,Tops,150,$80.10,$28.00,"$12,015.00","$4,200.00","$7,815.00",65.0%,2024-07-21,Delivered
100143,2024-07-09,Alpine Ski House,B2B,West,ZCF-EL-SST,Field Elite Short Sleeve Top,Field,Tops,20,$79.00,$25.00,"$1,580.00",$500.00,"$1,080.00",68.4%,2024-07-17,Delivered
100146,2024-07-10,Northwind Traders,B2B,Central,ZCF-EL-SST,Field Elite Short Sleeve Top,Field,Tops,20,$79.00,$25.00,"$1,580.00",$500.00,"$1,080.00",68.4%,2024-08-01,Delivered
100149,2024-07-12,Northwind Traders,B2B,Central,ZCR-FBR-FLD,ZavaCore Fiber — Field Grade,Supply,Raw Materials,20,$850.00,$310.00,"$17,000.00","$6,200.00","$10,800.00",63.5%,2024-07-22,Delivered
100159,2024-07-14,"VanArsdel, Ltd.",B2B,East,ZCF-EL-LST,Field Elite Long Sleeve Top,Field,Tops,20,$89.00,$28.00,"$1,780.00",$560.00,"$1,220.00",68.5%,2024-08-05,Delivered
100182,2024-07-21,Bellows College,B2B,East,ZCA-SC-PRO,Smart Cleats Pro,Accessories,Footwear,50,$236.55,$82.00,"$11,827.50","$4,100.00","$7,727.50",65.3%,2024-08-13,Delivered
100194,2024-07-25,Alpine Ski House,B2B,West,ZCF-EL-SST,Field Elite Short Sleeve Top,Field,Tops,50,$75.05,$25.00,"$3,752.50","$1,250.00","$2,502.50",66.7%,2024-08-07,Delivered
100197,2024-07-26,"Fabrikam, Inc.",B2B,East,ZCF-PR-SST,Field Premium Short Sleeve Top,Field,Tops,30,$129.00,$39.00,"$3,870.00","$1,170.00","$2,700.00",69.8%,2024-08-17,Delivered
100209,2024-07-31,Consolidated Messenger,B2B,Central,ZCF-PR-LST,Field Premium Long Sleeve Top,Field,Tops,25,$149.00,$45.00,"$3,725.00","$1,125.00","$2,600.00",69.8%,2024-08-24,Delivered
100210,2024-07-31,Northwind Traders,B2B,Central,ZCF-EL-SST,Field Elite Short Sleeve Top,Field,Tops,50,$75.05,$25.00,"$3,752.50","$1,250.00","$2,502.50",66.7%,2024-08-11,Delivered
100230,2024-08-06,Northwind Traders,B2B,Central,ZCF-EL-SST,Field Elite Short Sleeve Top,Field,Tops,150,$71.10,$25.00,"$10,665.00","$3,750.00","$6,915.00",64.8%,2024-08-27,Delivered
100231,2024-08-06,Alpine Ski House,B2B,West,ZCF-PR-LST,Field Premium Long Sleeve Top,Field,Tops,100,$134.10,$45.00,"$13,410.00","$4,500.00","$8,910.00",66.4%,2024-09-01,Delivered
100242,2024-08-12,Boulder Innovations,B2B,West,ZCF-PR-SST,Field Premium Short Sleeve Top,Field,Tops,50,$122.55,$39.00,"$6,127.50","$1,950.00","$4,177.50",68.2%,2024-08-29,Delivered
