Customer,Segment,Region,Total Orders,Total Units,Total Revenue,Total Cost,Gross Profit,Margin %,First Order,Last Order,Avg Order Value
"Fabrikam, Inc.",B2B,East,37,4590,"$1,088,251","$396,150","$692,101",63.6%,2024-01-21,2026-01-30,"$29,412"
Wide World Importers,B2B,Central,40,4155,"$1,032,191","$382,845","$649,346",62.9%,2024-03-14,2026-01-16,"$25,805"
"Contoso, Ltd.",B2B,West,36,5520,"$849,866","$301,800","$548,066",64.5%,2024-03-13,2026-01-02,"$23,607"
Northwind Traders,B2B,Central,35,3520,"$754,310","$276,530","$477,780",63.3%,2024-02-22,2026-01-26,"$21,552"
Boulder Innovations,B2B,West,40,1505,"$579,024","$207,965","$371,059",64.1%,2024-01-25,2026-01-30,"$14,476"
Relecloud,B2B,West,32,3090,"$567,580","$204,070","$363,510",64.0%,2024-01-07,2026-01-15,"$17,737"
"VanArsdel, Ltd.",B2B,East,36,3490,"$544,490","$189,780","$354,710",65.1%,2024-01-25,2026-01-28,"$15,125"
Adventure Works Cycles,B2B,West,27,3195,"$438,340","$153,480","$284,860",65.0%,2024-01-06,2026-01-27,"$16,235"
Bellows College,B2B,East,39,2130,"$390,410","$135,080","$255,330",65.4%,2024-01-14,2026-01-31,"$10,011"
Trey Research,B2B,West,33,1445,"$373,191","$132,980","$240,211",64.4%,2024-03-15,2026-01-27,"$11,309"
Adatum Corporation,B2B,East,30,2850,"$337,163","$115,470","$221,693",65.8%,2024-06-06,2026-01-16,"$11,239"
Direct eCommerce,B2C,West,1223,2380,"$322,550","$102,255","$220,295",68.3%,2024-06-01,2026-01-30,$264
Alpine Ski House,B2B,West,27,2440,"$301,305","$104,660","$196,645",65.3%,2024-06-25,2026-01-13,"$11,159"
"Contoso, Ltd.",B2C,West,861,1682,"$233,798","$74,141","$159,657",68.3%,2024-06-02,2026-01-31,$272
Consolidated Messenger,B2B,Central,29,1290,"$181,650","$61,155","$120,495",66.3%,2024-07-31,2026-01-19,"$6,264"
Sporting Goods Retail,B2C,Central,476,887,"$118,993","$37,705","$81,288",68.3%,2024-06-04,2026-01-29,$250
