Month,B2C Orders,B2C Revenue,B2B Orders,B2B Revenue,Total Orders,Total Revenue,Total Cost,Gross Profit,Margin %,Avg Order Value
2024-01,0,$0,8,"$275,743",8,"$275,743","$100,550","$175,193",63.5%,"$34,468"
2024-02,0,$0,5,"$198,040",5,"$198,040","$73,800","$124,240",62.7%,"$39,608"
2024-03,0,$0,10,"$325,559",10,"$325,559","$121,125","$204,434",62.8%,"$32,556"
2024-04,0,$0,5,"$128,250",5,"$128,250","$46,725","$81,525",63.6%,"$25,650"
2024-05,0,$0,8,"$288,254",8,"$288,254","$105,275","$182,979",63.5%,"$36,032"
2024-06,78,"$21,408",11,"$518,837",89,"$540,245","$205,869","$334,376",61.9%,"$6,070"
2024-07,73,"$19,162",12,"$85,358",85,"$104,520","$35,436","$69,084",66.1%,"$1,230"
2024-08,83,"$21,803",8,"$105,990",91,"$127,793","$43,540","$84,253",65.9%,"$1,404"
2024-09,88,"$24,347",14,"$171,588",102,"$195,935","$66,546","$129,389",66.0%,"$1,921"
2024-10,102,"$27,973",14,"$215,305",116,"$243,278","$84,019","$159,259",65.5%,"$2,097"
2024-11,129,"$37,306",19,"$188,954",148,"$226,260","$77,503","$148,757",65.7%,"$1,529"
2024-12,123,"$33,181",16,"$409,716",139,"$442,897","$156,650","$286,247",64.6%,"$3,186"
2025-01,130,"$32,467",20,"$249,951",150,"$282,418","$96,138","$186,280",66.0%,"$1,883"
2025-02,102,"$24,898",13,"$241,698",115,"$266,596","$96,675","$169,921",63.7%,"$2,318"
2025-03,141,"$38,785",16,"$336,901",157,"$375,686","$136,602","$239,084",63.6%,"$2,393"
2025-04,130,"$32,936",22,"$378,646",152,"$411,582","$144,603","$266,979",64.9%,"$2,708"
2025-05,119,"$32,604",20,"$301,697",139,"$334,301","$114,149","$220,152",65.9%,"$2,405"
2025-06,126,"$33,772",30,"$223,959",156,"$257,731","$88,458","$169,273",65.7%,"$1,652"
2025-07,126,"$30,258",21,"$480,099",147,"$510,357","$181,749","$328,608",64.4%,"$3,472"
2025-08,124,"$30,325",22,"$275,885",146,"$306,210","$106,315","$199,895",65.3%,"$2,097"
2025-09,158,"$42,157",21,"$275,141",179,"$317,298","$108,680","$208,618",65.7%,"$1,773"
2025-10,148,"$40,166",25,"$276,529",173,"$316,695","$111,092","$205,603",64.9%,"$1,831"
2025-11,182,"$52,629",29,"$379,862",211,"$432,491","$149,944","$282,547",65.3%,"$2,050"
2025-12,205,"$49,117",35,"$508,385",240,"$557,502","$195,964","$361,538",64.8%,"$2,323"
2026-01,193,"$50,047",37,"$597,426",230,"$647,473","$228,659","$418,814",64.7%,"$2,815"
